rooms,year_built,location,building_floor_num,garage,district,leasing,balcony,size_meters,door_type,apartment_floor_num,window_type,num_windows,floor_type
3 өрөө,2016,Бусад,11,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,66.0,Бүргэд,8,Вакум,3,Паркет
2 өрөө,2014,Сансар,6,Байхгүй,Баянзүрх,Лизинггүй,Тагтгүй,49.0,Бүргэд,6,Вакум,2,Паркет
2 өрөө,2019,Бусад,5,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,40.0,Бүргэд,4,Вакум,2,Паркет
3 өрөө,1991,"3, 4 хороолол",9,Байхгүй,Баянгол,Лизинггүй,1 тагттай,81.0,Бүргэд,6,Вакум,4,Паркет
2 өрөө,2012,19-р хороолол,6,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,40.0,Бүргэд,6,Вакум,2,Паркет
4 өрөө,2013,Бусад,6,Байгаа,Хан-Уул,Лизинггүй,3+ тагттай,185.0,Бүргэд,1,Вакум,6,Паркет
2 өрөө,2014,10-р хороолол,15,Байхгүй,Баянгол,Лизинггүй,2 тагттай,53.87,Бүргэд,8,Вакум,3,Паркет
3 өрөө,2012,Төмөр зам,12,Байхгүй,Баянгол,Лизинггүй,1 тагттай,55.0,Бүргэд,9,Вакум,3,Паркет
2 өрөө,2012,Москва хороолол,12,Байхгүй,Сонгино Хайрхан,Хувь лизингтэй,1 тагттай,50.0,Бүргэд,12,Вакум,2,Паркет
3 өрөө,2019,10-р хороолол,12,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,68.0,Бүргэд,2,Вакум,4,Паркет
2 өрөө,2020,Офицер,16,Байхгүй,Баянзүрх,Банкны лизингтэй,1 тагттай,42.0,Төмөр,12,Вакум,2,Паркет
3 өрөө,2011,UB Town,12,Байхгүй,Хан-Уул,Банкны лизингтэй,1 тагттай,75.0,Бүргэд,3,Вакум,4,Ламинат
3 өрөө,2012,13-р хороолол,9,Байгаа,Баянзүрх,Лизинггүй,2 тагттай,87.0,Бүргэд,6,Вакум,5,Паркет
4 өрөө,2019,16-р хороолол,16,Байгаа,Баянзүрх,Банкны лизингтэй,2 тагттай,85.69,Бүргэд,15,Вакум,6,Паркет
3 өрөө,2012,10-р хороолол,6,Байгаа,Баянгол,Лизинггүй,1 тагттай,76.0,Бүргэд,2,Вакум,4,Паркет
3 өрөө,2019,Бусад,9,Байхгүй,Хан-Уул,Лизинггүй,1 тагттай,77.2,Бүргэд,6,Вакум,5,Паркет
3 өрөө,2008,Офицер,4,Байхгүй,Баянзүрх,Лизинггүй,Тагтгүй,64.4,Бүргэд,2,Вакум,2,Паркет
1 өрөө,2014,Ханын материал,5,Байхгүй,Сонгино Хайрхан,Лизинггүй,1 тагттай,26.1,Бүргэд,5,Вакум,1,Паркет
5+ өрөө,2008,Дөлгөөн нуур,6,Байхгүй,Сүхбаатар,Хувь лизингтэй,2 тагттай,148.0,Бүргэд,5,Вакум,7,Паркет
3 өрөө,2014,"3, 4 хороолол",12,Байхгүй,Баянгол,Лизинггүй,Тагтгүй,72.0,Бүргэд,11,Вакум,3,Паркет
1 өрөө,1997,11-р хороолол,5,Байхгүй,Сүхбаатар,Лизинггүй,1 тагттай,45.0,Бүргэд,3,Вакум,2,Паркет
4 өрөө,2019,Төмөр зам,16,Байхгүй,Баянгол,Лизинггүй,2 тагттай,90.0,Бүргэд,6,Вакум,5,Паркет
2 өрөө,2019,Бусад,12,Байгаа,Хан-Уул,Банкны лизингтэй,1 тагттай,51.0,Бүргэд,5,Вакум,2,Паркет
2 өрөө,1987,10-р хороолол,9,Байхгүй,Баянгол,Лизинггүй,1 тагттай,50.0,Төмөр,9,Вакум,4,Ламинат
2 өрөө,2019,Зүүн 4 зам,16,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,49.0,Бүргэд,6,Вакум,2,Паркет
2 өрөө,2014,10-р хороолол,15,Байхгүй,Баянгол,Лизинггүй,2 тагттай,54.0,Бүргэд,10,Вакум,3,Паркет
